Date,SolRad,Precip,LightningAct,LightningDist,WindDir,WindSpeed,GustSpeed,AirTemp,VaporPr,AtmosPr,XLevel,YLevel,MaxPrecip,RHSensorTemp,VPD,BatPct,BatVolt,RefPr,LogTemp
12/11/20 14:30,98.2,0,0,0,88,1.07,3.39,10.5,0.626,98.31,-1.2,0.8,0,12,0.64,99,7798,98.27,14.6
12/11/20 14:45,106.9,0,0,0,131,0.86,2.65,10.3,0.641,98.32,-1.3,0.7,0,11.3,0.61,99,7797,98.26,12.6
12/11/20 15:00,109.4,0,0,0,110,0.77,2.64,10.4,0.654,98.33,-1.4,0.8,0,10.9,0.61,99,7797,98.26,11.7
12/11/20 15:15,77.3,0,0,0,15,1.24,3.76,10.5,0.663,98.35,-1.4,0.7,0,10.8,0.6,100,7801,98.27,11.2
12/11/20 15:30,55,0,0,0,8,1.28,3.15,10.1,0.66,98.38,-1.3,0.8,0,10.4,0.57,99,7798,98.3,10.4
12/11/20 15:45,47.2,0,0,0,2,0.92,2.24,9.6,0.661,98.39,-1.3,0.8,0,9.9,0.53,99,7798,98.31,9.6
12/11/20 16:00,41.5,0,0,0,355,0.59,1.4,9.4,0.673,98.39,-1.3,0.8,0,9.6,0.5,99,7798,98.3,9.3
12/11/20 16:15,17.5,0,0,0,4,0.69,1.77,8.9,0.667,98.39,-1.3,0.8,0,9.2,0.47,99,7797,98.3,8.6
12/11/20 16:30,4.1,0,0,0,8,0.96,1.47,8.3,0.652,98.41,-1.3,0.7,0,8.4,0.44,99,7797,98.29,7.5
12/11/20 16:45,0.5,0,0,0,6,1.23,2.04,7.5,0.641,98.39,-1.3,0.8,0,7.6,0.4,99,7795,98.27,6.3
12/11/20 17:00,0,0,0,0,359,1.17,1.63,6.8,0.64,98.4,-1.3,0.8,0,6.9,0.34,99,7792,98.26,5.3
12/11/20 17:15,0,0,0,0,3,1.11,1.54,6.4,0.646,98.41,-1.3,0.8,0,6.3,0.32,98,7791,98.27,4.7
12/11/20 17:30,0,0,0,0,7,0.82,1.42,6.6,0.664,98.43,-1.3,0.8,0,6,0.31,98,7787,98.28,4.4
12/11/20 17:45,0,0,0,0,2,0.81,1.37,6.3,0.67,98.46,-1.3,0.7,0,5.7,0.29,99,7792,98.31,4.1
12/11/20 18:00,0,0,0,0,8,0.86,1.47,6,0.67,98.5,-1.4,0.8,0,5.4,0.26,98,7789,98.33,3.8
12/11/20 18:15,0,0,0,0,13,0.94,1.38,5.6,0.663,98.51,-1.3,0.7,0,5.2,0.25,98,7787,98.32,3.4
12/11/20 18:30,0,0,0,0,14,0.7,1.22,5.6,0.67,98.51,-1.4,0.8,0,4.9,0.24,98,7788,98.32,3.1
12/11/20 18:45,0,0,0,0,15,0.81,1.31,5.6,0.67,98.54,-1.3,0.8,0,4.7,0.24,98,7789,98.34,3
12/11/20 19:00,0,0,0,0,26,0.91,1.54,4.9,0.658,98.55,-1.4,0.8,0,4.5,0.21,98,7785,98.35,2.6
12/11/20 19:15,0,0,0,0,22,0.82,1.53,4.5,0.641,98.57,-1.3,0.8,0,4,0.2,97,7780,98.36,2.2
12/11/20 19:30,0,0,0,0,26,1,1.77,4.2,0.645,98.59,-1.3,0.8,0,3.7,0.18,98,7784,98.38,1.7
12/11/20 19:45,0,0,0,0,10,1.14,1.77,4.1,0.649,98.59,-1.3,0.8,0,3.5,0.17,98,7784,98.37,1.4
12/11/20 20:00,0,0,0,0,0,1.02,1.48,4.3,0.655,98.57,-1.4,0.8,0,3.5,0.18,97,7782,98.35,1.2
12/11/20 20:15,0,0,0,0,339,0.72,1.21,3.8,0.67,98.55,-1.3,0.8,0,3.6,0.13,97,7779,98.33,1.4
12/11/20 20:30,0,0,0,0,23,0.86,1.27,4,0.667,98.54,-1.4,0.8,0,3.5,0.15,97,7780,98.33,1.5
12/11/20 20:45,0,0,0,0,27,0.72,1.12,4.1,0.67,98.56,-1.3,0.8,0,3.6,0.15,97,7777,98.35,1.6
12/11/20 21:00,0,0,0,0,32,0.94,1.93,4.1,0.671,98.58,-1.3,0.8,0,3.6,0.15,97,7779,98.36,1.8
